"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","109","DELETE /comment/{id} for non-existent id -> 404 RESOURCE_NOT_FOUND","tests.comments","Fri Feb 06 17:12:58 UTC 2026","passed","Fri Feb 06 17:12:58 UTC 2026","TestCommentsNegative","test_comments_negative","",""
"","194","GET /user/{id} not found -> 404 RESOURCE_NOT_FOUND","tests.users","Fri Feb 06 17:12:54 UTC 2026","passed","Fri Feb 06 17:12:54 UTC 2026","TestUsersNegative","test_users_negative","",""
"","326","Delete Post -> DELETE /post/{id} (verify GET 404)","tests.posts","Fri Feb 06 17:12:38 UTC 2026","passed","Fri Feb 06 17:12:39 UTC 2026","TestPosts","test_post_regression","",""
"","416","GET wrong path -> 404 PATH_NOT_FOUND","tests.users","Fri Feb 06 17:12:55 UTC 2026","passed","Fri Feb 06 17:12:55 UTC 2026","TestUsersNegative","test_users_negative","",""
"","229","Delete User -> DELETE /user/{id} (verify deleted)","tests.users","Fri Feb 06 17:12:36 UTC 2026","passed","Fri Feb 06 17:12:36 UTC 2026","TestUsers","test_users_regression","",""
"","96","DELETE /post/{id} for non-existent id -> 404 RESOURCE_NOT_FOUND","tests.posts","Fri Feb 06 17:12:56 UTC 2026","passed","Fri Feb 06 17:12:56 UTC 2026","TestPostsNegative","test_post_negative","",""
"","118","Get User by id -> GET /user/{id}","tests.users","Fri Feb 06 17:12:35 UTC 2026","passed","Fri Feb 06 17:12:35 UTC 2026","TestUsers","test_users_regression","",""
"","85","POST /post/create without text -> 400 BODY_NOT_VALID","tests.posts","Fri Feb 06 17:12:55 UTC 2026","passed","Fri Feb 06 17:12:55 UTC 2026","TestPostsNegative","test_post_negative","",""
"","91","POST /post/create without owner -> 400 BODY_NOT_VALID","tests.posts","Fri Feb 06 17:12:55 UTC 2026","passed","Fri Feb 06 17:12:55 UTC 2026","TestPostsNegative","test_post_negative","",""
"","181","Create Post -> POST /post/create","tests.posts","Fri Feb 06 17:12:36 UTC 2026","passed","Fri Feb 06 17:12:36 UTC 2026","TestPosts","test_post_regression","",""
"","264","POST /comment/create missing owner -> 400 BODY_NOT_VALID","tests.comments","Fri Feb 06 17:12:57 UTC 2026","passed","Fri Feb 06 17:12:57 UTC 2026","TestCommentsNegative","test_comments_negative","",""
"","107","POST /post/create with invalid app-id -> 403 APP_ID_NOT_EXIST","tests.posts","Fri Feb 06 17:12:55 UTC 2026","passed","Fri Feb 06 17:12:55 UTC 2026","TestPostsNegative","test_post_negative","",""
"","716","Post flow (CREATE -> GET by id -> UPDATE -> GET by id -> DELETE -> GET 404)","tests.posts","Fri Feb 06 17:12:32 UTC 2026","passed","Fri Feb 06 17:12:33 UTC 2026","TestPosts","test_post_crud","",""
"","174","POST /comment/create without app-id -> 403 APP_ID_MISSING","tests.comments","Fri Feb 06 17:12:56 UTC 2026","passed","Fri Feb 06 17:12:56 UTC 2026","TestCommentsNegative","test_comments_negative","",""
"","181","GET /post/{id} for non-existent id -> 404 RESOURCE_NOT_FOUND","tests.posts","Fri Feb 06 17:12:56 UTC 2026","passed","Fri Feb 06 17:12:56 UTC 2026","TestPostsNegative","test_post_negative","",""
"","683","User flow (CREATE -> GET by id -> UPDATE -> GET by id -> DELETE -> GET 404)","tests.users","Fri Feb 06 17:12:32 UTC 2026","passed","Fri Feb 06 17:12:32 UTC 2026","TestUsers","test_users_crud","",""
"","568","Delete Comment -> DELETE /comment/{id} (verify deleted)","tests.comments","Fri Feb 06 17:12:52 UTC 2026","passed","Fri Feb 06 17:12:53 UTC 2026","TestComments","test_comments_regression","",""
"","385","GET /user/{bad_id} -> 400 PARAMS_NOT_VALID","tests.users","Fri Feb 06 17:12:54 UTC 2026","passed","Fri Feb 06 17:12:54 UTC 2026","TestUsersNegative","test_users_negative","",""
"","136","POST /post/create without app-id -> 403 APP_ID_MISSING","tests.posts","Fri Feb 06 17:12:55 UTC 2026","passed","Fri Feb 06 17:12:55 UTC 2026","TestPostsNegative","test_post_negative","",""
"","143","GET /post/{bad_id}/comment -> 400 PARAMS_NOT_VALID","tests.comments","Fri Feb 06 17:12:58 UTC 2026","passed","Fri Feb 06 17:12:58 UTC 2026","TestCommentsNegative","test_comments_negative","",""
"","1","Create User -> POST /user/create","tests.users","Fri Feb 06 17:12:35 UTC 2026","passed","Fri Feb 06 17:12:35 UTC 2026","TestUsers","test_users_regression","",""
"","295","GET /user with invalid app-id -> 403 APP_ID_NOT_EXIST","tests.users","Fri Feb 06 17:12:53 UTC 2026","passed","Fri Feb 06 17:12:54 UTC 2026","TestUsersNegative","test_users_negative","",""
"","88","GET /post/{bad_id} -> 400 PARAMS_NOT_VALID","tests.posts","Fri Feb 06 17:12:55 UTC 2026","passed","Fri Feb 06 17:12:56 UTC 2026","TestPostsNegative","test_post_negative","",""
"","200","GET wrong path -> 404 PATH_NOT_FOUND","tests.comments","Fri Feb 06 17:12:58 UTC 2026","passed","Fri Feb 06 17:12:58 UTC 2026","TestCommentsNegative","test_comments_negative","",""
