"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","357","Get user by id","tests.users","2026-01-29","passed","2026-01-29","TestUsers","test_users_regression","",""
"","270","DELETE /post/{id} for non-existent id -> 404 RESOURCE_NOT_FOUND","tests.posts","2026-01-29","passed","2026-01-29","TestPostsNegative","test_post_negative","",""
"","321","Create new post","tests.posts","2026-01-29","passed","2026-01-29","TestPosts","test_post_regression","",""
"","694","GET /user/{bad_id} -> 400 PARAMS_NOT_VALID","tests.users","2026-01-29","passed","2026-01-29","TestUsersNegative","test_users_negative","",""
"","874","GET /user/{user_id}/comment -> List comments by user contains created comment","tests.comments","2026-01-29","passed","2026-01-29","TestCommentsCRUD","test_comments_crud","",""
"","621","GET /post/{id} -> Get post by id","tests.posts","2026-01-29","passed","2026-01-29","TestPostsCRUD","test_post_crud","",""
"","565","Delete user by id","tests.users","2026-01-29","passed","2026-01-29","TestUsers","test_users_regression","",""
"","1220","Update post by id (PUT)","tests.posts","2026-01-29","passed","2026-01-29","TestPosts","test_post_regression","",""
"","683","DELETE /post/{id} -> Delete post by id","tests.posts","2026-01-29","passed","2026-01-29","TestPostsCRUD","test_post_crud","",""
"","0","POST /comment/create missing owner -> 400 BODY_NOT_VALID","tests.comments","2026-01-29","failed","2026-01-29","TestCommentsNegative","test_comments_negative","",""
"","610","POST /comment/create with non-existent post -> API accepts (200/201) and returns comment","tests.comments","2026-01-29","passed","2026-01-29","TestCommentsNegative","test_comments_negative","",""
"","9979","Get post by id","tests.posts","2026-01-29","passed","2026-01-29","TestPosts","test_post_regression","",""
"","555","POST /post/create without app-id -> 403 APP_ID_MISSING","tests.posts","2026-01-29","passed","2026-01-29","TestPostsNegative","test_post_negative","",""
"","219","POST /post/create without owner -> 400 BODY_NOT_VALID","tests.posts","2026-01-29","passed","2026-01-29","TestPostsNegative","test_post_negative","",""
"","949","Delete post by id","tests.posts","2026-01-29","passed","2026-01-29","TestPosts","test_post_regression","",""
"","492","POST /user/create with missing required fields -> 400 BODY_NOT_VALID","tests.users","2026-01-29","passed","2026-01-29","TestUsersNegative","test_users_negative","",""
"","312","DELETE /user/{id} for non-existent id -> 404 RESOURCE_NOT_FOUND","tests.users","2026-01-29","passed","2026-01-29","TestUsersNegative","test_users_negative","",""
"","1101","GET /user/{user_id}/post -> List posts by user contains created posts","tests.posts","2026-01-29","passed","2026-01-29","TestPostsCRUD","test_post_crud","",""
"","1378","PUT /post/{id}: attempt to update owner -> should be 400 or ignored","tests.posts","2026-01-29","failed","2026-01-29","TestPostsNegative","test_post_negative","",""
"","1","Create new user","tests.users","2026-01-29","passed","2026-01-29","TestUsers","test_users_regression","",""
"","1593","Delete comment by id","tests.comments","2026-01-29","broken","2026-01-29","TestComments","test_comments_regression","",""
"","226","POST /post/create -> Create new post","tests.posts","2026-01-29","passed","2026-01-29","TestPostsCRUD","test_post_crud","",""
"","1026","PUT /user/{id}: attempt to update email -> should not change email (400 or 200 but unchanged)","tests.users","2026-01-29","passed","2026-01-29","TestUsersNegative","test_users_negative","",""
"","993","GET /post/{post_id}/comment -> Read: list comments by post contains created comment","tests.comments","2026-01-29","passed","2026-01-29","TestCommentsCRUD","test_comments_crud","",""
"","1247","DELETE /comment/{id} -> Delete comment by id","tests.comments","2026-01-29","passed","2026-01-29","TestCommentsCRUD","test_comments_crud","",""
"","0","POST /comment/create missing post -> 400 BODY_NOT_VALID","tests.comments","2026-01-29","failed","2026-01-29","TestCommentsNegative","test_comments_negative","",""
"","1099","PUT /post/{id} -> Update post by id","tests.posts","2026-01-29","passed","2026-01-29","TestPostsCRUD","test_post_crud","",""
"","550","POST /post/create with invalid app-id -> 403 APP_ID_NOT_EXIST","tests.posts","2026-01-29","passed","2026-01-29","TestPostsNegative","test_post_negative","",""
"","314","DELETE /comment/{id} for non-existent id -> 404 RESOURCE_NOT_FOUND","tests.comments","2026-01-29","passed","2026-01-29","TestCommentsNegative","test_comments_negative","",""
"","536","GET /post/{bad_id}/comment -> 400 PARAMS_NOT_VALID","tests.comments","2026-01-29","passed","2026-01-29","TestCommentsNegative","test_comments_negative","",""
"","459","GET without app-id -> 403 APP_ID_MISSING","tests.users","2026-01-29","passed","2026-01-29","TestUsersNegative","test_users_negative","",""
"","529","POST /comment/create without app-id -> 403 APP_ID_MISSING","tests.comments","2026-01-29","passed","2026-01-29","TestCommentsNegative","test_comments_negative","",""
"","699","POST /comment/create -> Create new comment","tests.comments","2026-01-29","passed","2026-01-29","TestCommentsCRUD","test_comments_crud","",""
"","816","List comments by post contains created comment","tests.comments","2026-01-29","failed","2026-01-29","TestComments","test_comments_regression","",""
"","541","Update user by id (PUT)","tests.users","2026-01-29","passed","2026-01-29","TestUsers","test_users_regression","",""
"","0","POST /comment/create with non-existent owner -> 400 BODY_NOT_VALID or 404 RESOURCE_NOT_FOUND","tests.comments","2026-01-29","broken","2026-01-29","TestCommentsNegative","test_comments_negative","",""
"","438","POST /comment/create with invalid app-id -> 403 APP_ID_NOT_EXIST","tests.comments","2026-01-29","passed","2026-01-29","TestCommentsNegative","test_comments_negative","",""
"","985","List posts by user contains created posts","tests.posts","2026-01-29","passed","2026-01-29","TestPosts","test_post_regression","",""
"","1793","User CRUD (POST -> GET -> PUT -> GET -> DELETE -> GET 404) happy path","tests.users","2026-01-29","passed","2026-01-29","TestUsers","test_users_crud","",""
"","0","Create new comment","tests.comments","2026-01-29","failed","2026-01-29","TestComments","test_comments_regression","",""
"","231","GET /post/{bad_id} -> 400 PARAMS_NOT_VALID","tests.posts","2026-01-29","passed","2026-01-29","TestPostsNegative","test_post_negative","",""
"","432","GET with invalid app-id -> 403 APP_ID_NOT_EXIST","tests.users","2026-01-29","passed","2026-01-29","TestUsersNegative","test_users_negative","",""
